handshake_ms
351
329
326
327
325
324
325
325
325
325
323
324
323
326
327
327
325
326
326
324
326
324
326
324
325
325
326
326
324
325
326
325
324
326
327
325
328
326
325
325
325
326
325
327
326
326
326
326
327
325
325
327
327
324
326
328
325
325
326
324
323
324
325
324
328
327
328
327
326
332
324
323
324
322
323
323
320
325
323
323
324
324
323
323
323
325
325
326
326
324
323
324
322
325
324
324
327
325
325
325
324
324
325
326
325
326
325
328
325
326
326
324
324
323
327
325
325
326
323
325
324
325
324
324
324
323
324
324
325
325
323
325
326
325
326
333
331
324
323
325
325
325
325
323
324
325
325
325
325
325
327
323
325
326
323
326
322
323
323
324
322
323
322
321
322
322
322
322
322
320
321
321
321
323
321
320
321
321
322
322
323
322
323
324
321
323
323
321
321
324
321
323
323
324
321
321
321
322
321
320
