handshake_ms
328
327
326
328
326
454
426
326
459
328
326
326
325
326
1044
1331
327
326
330
1346
327
329
329
326
327
1334
326
325
327
1339
326
328
327
459
327
326
327
326
748
502
328
326
325
717
328
327
326
326
328
326
1338
321
321
319
321
2985
322
321
322
321
321
321
322
322
323
322
425
324
456
324
726
326
427
454
327
426
327
324
651
324
325
1348
456
324
460
327
325
326
324
325
675
324
326
326
652
326
324
324
326
326
326
325
327
326
326
326
326
454
325
329
326
328
327
328
655
459
456
327
326
326
1755
325
325
328
1664
325
323
321
450
384
322
322
452
322
324
323
321
322
324
321
323
322
452
323
325
323
1347
325
911
327
328
329
327
428
325
326
327
327
457
328
596
327
657
326
329
325
329
327
328
326
327
329
458
326
327
513
325
628
330
328
329
326
425
326
459
324
325
323
323
450
321
320
1354
323
1324
321
322
321
322
553
